isqno,War,Battle Name,Location,Campaign,Attacker Win,Dry/Wet,High/Low Precipitaton/Sunny/Cloudy,"Temperature (Hot, Cold, Temperate)",Season,Tropical/Desert/Temperate,Attacker 1,Attacker 2,Attacker 3,Attacker 4,Actor 1,Actor 2,Actor 3,Actor 4
121.0,THE NAPOLEONIC WARS,FRIEDLAND,PRUSSIA,POLAND 1807,1.0,D,S,T,S,T,1.0,0.0,,,France,Russia,,
122.0,THE NAPOLEONIC WARS,VIMIERO,PORTUGAL,PENINSULAR 1808,-1.0,D,S,T,S,T,1.0,0.0,,,France,Great Britain,,
123.0,THE NAPOLEONIC WARS,CORUNNA,SPAIN,PENINSULAR 1809,-1.0,D,S,T,W,T,1.0,0.0,,,France,Great Britain,,
124.0,THE NAPOLEONIC WARS,ECKMUEHL,AUSTRIA,WAGRAM,-1.0,D,S,T,$,T,1.0,0.0,,,Austria,France,,
125.0,THE NAPOLEONIC WARS,ASPERN-ESSLING,AUSTRIA,WAGRAM,1.0,D,S,T,S,T,1.0,0.0,,,Austria,France,,
126.0,THE NAPOLEONIC WARS,THE RAAB,HUNGARY,WAGRAM,1.0,D,S,T,S,T,0.0,1.0,,,Austria,France,,
127.0,THE NAPOLEONIC WARS,WAGRAM,AUSTRIA,WAGRAM,1.0,D,S,T,S,T,0.0,1.0,,,Austria,France,,
128.0,THE NAPOLEONIC WARS,TALAVERA,SPAIN,PENINSULAR 1809,-1.0,D,S,T,S,T,1.0,0.0,0.0,,France,Great Britain,Spain,
129.0,THE NAPOLEONIC WARS,BUSSACO,PORTUGAL,PENINSULAR 1810,-1.0,D,S,T,F,T,1.0,0.0,,,France,Great Britain,,
130.0,THE NAPOLEONIC WARS,FUENTES DE ONORO,SPAIN,PENINSULAR 1811,-1.0,D,S,T,$,T,1.0,0.0,,,France,Great Britain,,
131.0,THE NAPOLEONIC WARS,ALBUERA,SPAIN,PENINSULAR 1811,-1.0,D,S,T,$,T,1.0,0.0,,,France,Great Britain,,
132.0,THE NAPOLEONIC WARS,SALAMANCA,SPAIN,PENINSULAR 1812,1.0,D,S,T,S,T,0.0,1.0,,,France,Great Britain,,
133.0,THE NAPOLEONIC WARS,VITTORIA,SPAIN,PENINSULAR 1813,1.0,D,S,T,S,T,0.0,1.0,,,France,Great Britain,,
134.0,THE NAPOLEONIC WARS,BORODINO,RUSSIA,RUSSIA 1812,1.0,D,S,T,F,T,1.0,0.0,,,France,Russia,,
135.0,THE NAPOLEONIC WARS,LUETZEN,SAXONY,LEIPZIG 1813,-1.0,D,S,T,$,T,0.0,1.0,1.0,,France,Prussia,Russia,
136.0,THE NAPOLEONIC WARS,BAUTZEN,SAXONY,LEIPZIG 1813,1.0,W,L,T,$,T,1.0,0.0,0.0,,France,Prussia,Russia,
137.0,THE NAPOLEONIC WARS,DRESDEN,SAXONY,LEIPZIG 1813,-1.0,D,S,T,S,T,1.0,0.0,,,Austria,France,,
138.0,THE NAPOLEONIC WARS,LEIPZIG,SAXONY,LEIPZIG 1813,1.0,D,S,T,F,T,1.0,0.0,,,Austria,France,,
139.0,THE NAPOLEONIC WARS,HANAU,HESSE,LEIPZIG 1813,1.0,D,S,T,F,T,0.0,1.0,,,Bavaria,France,,
140.0,THE NAPOLEONIC WARS,LA ROTHIERE,FRANCE,DEFENSE OF FRANCE,1.0,W,H,T,W,T,0.0,1.0,,,France,Prussia,,
141.0,THE NAPOLEONIC WARS,LAON,FRANCE,DEFENSE OF FRANCE,-1.0,D,S,T,$,T,1.0,0.0,,,France,Prussia,,
142.0,THE NAPOLEONIC WARS,ARCIS-SUR-AUBE,FRANCE,DEFENSE OF FRANCE,1.0,D,S,T,$,T,1.0,0.0,,,Austria,France,,
143.0,THE NAPOLEONIC WARS,LIGNY,BELGIUM,THE HUNDRED DAYS,1.0,W,L,T,S,T,1.0,0.0,,,France,Prussia,,
144.0,THE NAPOLEONIC WARS,QUATRE BRAS,BELGIUM,THE HUNDRED DAYS,-1.0,W,L,T,S,T,1.0,0.0,,,France,Great Britain,,
145.0,THE NAPOLEONIC WARS,WATERLOO,BELGIUM,THE HUNDRED DAYS,-1.0,W,L,T,S,T,1.0,0.0,0.0,,France,Great Britain,Prussia,
146.0,WAR OF 1812,THE THAMES,CANADA,NORTHWESTERN,1.0,D,S,T,F,T,0.0,1.0,,,Great Britain,USA,,
147.0,WAR OF 1812,CHIPPEWA,CANADA,NORTHERN 1812,-1.0,D,S,T,S,T,1.0,0.0,,,Great Britain,USA,,
148.0,WAR OF 1812,LUNDY'S LANE,CANADA,NORTHERN 1812,-1.0,D,S,T,S,T,0.0,1.0,,,Great Britain,USA,,
149.0,WAR OF 1812,NEW ORLEANS,LOUISIANA,NEW ORLEANS,-1.0,D,S,T,W,T,1.0,0.0,,,Great Britain,USA,,
150.0,LATIN AMERICAN WARS OF INDEPENDENCE,BOYACA,COLUMBIA,BOYACA,1.0,D,S,T,W,T,1.0,0.0,,,Independentalists,Spain,,
151.0,LATIN AMERICAN WARS OF INDEPENDENCE,CARABOBO,VENEZUELA,CARABOBO,1.0,D,S,T,W,T,1.0,0.0,,,Independentalists,Spain,,
152.0,LATIN AMERICAN WARS OF INDEPENDENCE,BOMBONA,QUITO,BOMBONA,1.0,D,S,T,F,T,1.0,0.0,,,Independentalists,Spain,,
153.0,LATIN AMERICAN WARS OF INDEPENDENCE,PICHINCHA,QUITO,PICHINCHA,-1.0,D,S,T,F,T,0.0,1.0,,,Independentalists,Spain,,
